,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,suicides_no,population,rate,per100k,GPI
92,Egypt,2013,3.5585203169999997,9.191586494,0.6751881240000001,60.47999954,0.473774552,-0.148239717,0.913228452,0.55068332,0.483379006,0.292456508,-1.345194936,-0.6955176,149.0,78431389.0,1.8997496015275211e-06,0.18997496015275211,2.258
93,Egypt,2014,4.885072708,9.19824791,0.6185507179999999,60.63999939,0.5779379610000001,-0.133438155,0.749142587,0.542784274,0.32735016899999997,0.703883886,-1.4058880809999998,-0.7181422709999999,88.0,76981540.0,1.1431311974273312e-06,0.11431311974273312,2.571
94,Egypt,2015,4.7625384330000005,9.219856262,0.7297442559999999,60.79999924,0.659261465,-0.095742442,0.684498072,0.609594345,0.344331503,0.7716127629999999,-1.340729475,-0.70613277,48.0,78885166.0,6.08479419311864e-07,0.0608479419311864,2.382
95,El Salvador,2011,4.741294861,8.781316757,0.731277883,64.40000153,0.747246385,-0.124661237,0.7065528040000001,0.875323594,0.33632153299999995,0.490076542,0.077475488,-0.153904423,485.0,5585785.0,8.682754527787948e-05,8.682754527787948,2.215
96,El Salvador,2012,5.934371471,8.804447174,0.806014717,64.59999847,0.6827448009999999,-0.153194159,0.786294818,0.83063215,0.365220815,0.312310934,0.09719512599999999,-0.22828261600000002,512.0,5618823.0,9.1122286642594e-05,9.112228664259401,2.22
97,El Salvador,2013,6.3250632289999995,8.823185921,0.826858878,64.80000305,0.71557045,-0.148116946,0.7717508670000001,0.828256786,0.317476392,0.358650446,-0.023375487,-0.193765968,484.0,5657250.0,8.555393521587344e-05,8.555393521587344,2.24
98,El Salvador,2014,5.856523514,8.837931633,0.797612131,65.0,0.77801466,-0.192817748,0.7814598079999999,0.8372050520000001,0.32985085199999997,0.315775812,0.06400655200000001,-0.141765803,386.0,5696329.0,6.77629399565931e-05,6.7762939956593105,2.28
99,Estonia,2011,5.486819744,10.10818481,0.9087126259999999,66.95999908,0.7352253790000001,-0.171402186,0.68678391,0.651386082,0.205158427,0.417540222,0.872383595,1.176006198,218.0,1249427.0,0.00017447998162357624,17.447998162357624,1.798
100,Estonia,2012,5.363927841000001,10.15393448,0.889454544,67.22000122,0.696825743,-0.196030051,0.7928527,0.647360325,0.198966742,0.272975951,0.87419492,1.156192064,237.0,1251631.0,0.00018935293229394286,18.935293229394286,1.715
101,Estonia,2013,5.367445946,10.17667389,0.900721788,67.48000336,0.753558695,-0.205494925,0.726356387,0.702255547,0.199018165,0.260637581,0.932532012,1.202389479,218.0,1243096.0,0.00017536859582847986,17.536859582847985,1.71
102,Estonia,2014,5.55598259,10.20779419,0.917101741,67.73999786,0.773327112,-0.15770036,0.652447462,0.6804306509999999,0.203439116,0.414985895,0.97528398,1.342396259,241.0,1241852.0,0.00019406499325201393,19.40649932520139,1.635
103,Estonia,2015,5.628908634,10.22374249,0.9179296490000001,68.0,0.8146923779999999,-0.16834341,0.5687344670000001,0.72333771,0.182694778,0.3366898,0.90385133,1.3406986,195.0,1243450.0,0.00015682174594877155,15.682174594877155,1.6769999999999998
104,Finland,2011,7.354225158999999,10.6135788,0.937856853,70.63999939,0.936448395,0.096755996,0.319593191,0.772944152,0.20523864,0.565402389,1.4505112169999999,2.052244186,912.0,5085985.0,0.0001793162976296627,17.93162976296627,1.352
