country,year,Life Ladder,Log GDP per capita,Freedom to make life choices,Generosity,Confidence in national government,suicides_no,GPI
Iran,2014,4.682224274,9.736499786,0.766822994,0.210001796,0.744599879,2485,2.437
Iran,2015,4.749955654,9.711170197,0.780383229,0.145681813,0.753276825,2372,2.409
Ireland,2011,7.006904125,10.71768761,0.952034354,0.379793316,0.529104173,554,1.37
Ireland,2012,6.964645386,10.71382141,0.90219456,0.29874143,0.3458727,542,1.328
Ireland,2013,6.760085106,10.72481155,0.883772016,0.327679008,0.285015553,487,1.37
Ireland,2014,7.018379211,10.7974987,0.921629548,0.259822041,0.459882379,486,1.384
Israel,2011,7.433147907,10.32739449,0.722269237,0.138536528,0.271090537,409,2.901
Israel,2012,7.110854626,10.32817173,0.681439221,0.150700644,0.343569756,430,2.842
Israel,2013,7.320563316,10.34980011,0.739001632,0.148229972,0.451302052,372,2.73
Israel,2014,7.400570393,10.36413765,0.706974626,0.091592588,0.443641841,382,2.689
Israel,2015,7.07941103,10.37425232,0.752783954,0.105966061,0.405343235,342,2.781
Italy,2011,6.057086468,10.50087643,0.567738414,-0.020065753,0.259559691,4153,1.775
Italy,2012,5.839313984,10.46958542,0.570094943,0.110555314,0.280694604,4257,1.69
Italy,2013,6.009373665,10.44056034,0.499168754,-0.104565948,0.145972148,4290,1.663
Italy,2014,6.026585102,10.43252182,0.623531222,-0.06720639,0.309035748,4147,1.675
Italy,2015,5.847683907,10.44295979,0.574765742,-0.066691227,0.260625869,3988,1.669
Jamaica,2011,5.374446392,8.999515533,0.795613527,-0.061701879,0.364988148,50,2.244
Japan,2011,6.262793541,10.48499584,0.814396441,-0.062772609,0.231063634,28766,1.287
Japan,2012,5.968216419,10.50143337,0.752831519,,0.169178054,26338,1.326
Japan,2013,5.959361553,10.52268124,0.821416557,-0.157917306,0.358106881,25991,1.293
Japan,2014,5.922620773,10.52774811,0.838051736,-0.150382042,0.37951529,24357,1.316
Japan,2015,5.879684448,10.54225731,0.831694186,-0.166381299,0.352867216,23092,1.323
Kazakhstan,2011,5.735662937,9.965378761,0.877888083,-0.245874509,0.716494739,3401,2.137
Kazakhstan,2012,5.759469509,9.998175621,0.839832306,-0.181642011,0.726160645,3240,2.151
Kazakhstan,2013,5.835483074,10.04205036,0.781591058,-0.239924133,0.662005246,3512,2.031
Kazakhstan,2014,5.970097542,10.06846523,0.799462974,-0.006787338,0.603504002,3119,2.15
Kazakhstan,2015,5.949995041,10.06577873,0.740132809,-0.047781285,0.816247523,2872,2.008
Kuwait,2011,6.377699375,11.25751114,0.768603504,,,41,1.667
Kuwait,2012,6.221094608,11.25955486,0.934049547,,,56,1.792
Kuwait,2013,6.480031013,11.21296215,0.750524879,,,41,1.705
Kuwait,2014,6.180138588,11.16807175,,,,68,1.679
Kyrgyzstan,2011,4.921049118,7.979545593,0.747808456,-0.133019522,0.436688751,471,2.296
Kyrgyzstan,2012,5.207785606,7.962011337,0.702731669,-0.057281565,0.513287067,524,2.359
Kyrgyzstan,2013,5.40242672,8.045762062,0.755036652,-0.063735031,0.43592,446,2.391
Kyrgyzstan,2014,5.252192974,8.065153122,0.736290097,0.376653016,0.36819616,461,2.382
Kyrgyzstan,2015,4.905375957,8.082588196,0.813175857,0.221000105,0.58429265,417,2.249
Latvia,2011,4.966811657,9.892091751,0.56446445,-0.005147552,0.107237339,440,1.793
Latvia,2012,5.125025272,9.944048882,0.563811779,-0.04060765,0.191219807,444,1.774
Latvia,2013,5.069770336,9.978767395,0.630507529,-0.075946189,0.233799666,383,1.772
Latvia,2014,5.729115486,10.00659657,0.670653164,-0.046075948,0.229044721,382,1.745
Latvia,2015,5.880597591,10.04406738,0.65639317,-0.080376849,0.298912108,387,1.695
Lithuania,2011,5.43243742,10.03689575,0.565797269,-0.151642829,0.18108657,1018,1.76
Lithuania,2012,5.771037102,10.08786297,0.503027141,-0.277095586,0.145729542,927,1.741
Lithuania,2013,5.595689297,10.13237095,0.555815279,-0.240589797,0.384238273,1085,1.784
Lithuania,2014,6.125723839,10.17573357,0.507947206,-0.267568946,0.344657153,930,1.797
Lithuania,2015,5.711378098,10.20528412,0.641470194,-0.257858634,0.367034554,896,1.674
Lithuania,2016,5.865552425,10.24116898,0.614239335,-0.270516902,0.279638559,826,1.735
Macedonia,2011,4.898180008,9.359781265,0.607463241,-0.086839117,,128,2.048
Macedonia,2012,4.639647484,9.354412079,0.613055706,-0.083972946,0.369646579,172,1.935
Macedonia,2013,5.186190605,9.382424355,0.640952647,0.024955731,0.430279344,170,2.044
Mauritius,2011,5.477073193,9.714852333,0.848193765,0.183184341,0.665332794,118,
Mauritius,2014,5.647779942,9.812241554,0.824230313,0.167742044,0.56246227,120,1.544
Mauritius,2016,5.610003471,9.881625175,0.819175661,0.130789235,0.565379262,98,1.559
Mexico,2011,6.909515381,9.68342495,0.831368089,-0.102275625,0.383446395,5558,2.362
Mexico,2012,7.320185184,9.704709053,0.787768304,-0.095760457,0.3614088,5381,2.445
Mexico,2013,7.442546368,9.704125404,0.738716662,-0.167555317,0.395571351,5711,2.434
Mexico,2014,6.679831028,9.718518257,0.779132903,-0.097106457,0.327582031,6178,2.5
Mexico,2015,6.236287117,9.737350464,0.719465971,-0.154544055,0.256193161,6234,2.53
Moldova,2011,5.792262554,8.337878227,0.62802279,-0.034252148,0.238943219,502,1.892
Moldova,2012,5.995712757,8.330985069,0.602418542,-0.002011025,0.21462217,571,1.927
Moldova,2013,5.75605917,8.421093941,0.657734275,-0.021718888,0.1450174,576,1.984
Moldova,2014,5.917058468,8.468586922,0.623186231,-0.066144489,0.177369043,581,1.971
Moldova,2015,6.017472267,8.465222359,0.595241427,-0.042187758,0.174305618,556,1.942
Moldova,2016,5.577784061,8.509845734,0.557369471,0.000704906,0.084061243,546,1.953
Mongolia,2016,5.056999683,9.337942123,0.759740949,0.076226927,0.349382877,450,1.838
Netherlands,2011,7.563797951,10.73784447,0.92543155,0.330308765,0.603366792,1650,1.628
Netherlands,2012,7.470715523,10.72351742,0.877118647,0.282823682,0.574513912,1756,1.606
Netherlands,2013,7.406550407,10.71866417,0.918995857,0.2992917,0.542986929,1856,1.508
Netherlands,2014,7.32118845,10.72916317,0.910179615,0.326043248,0.525242269,1839,1.475
Netherlands,2015,7.324437141,10.74708652,0.903978765,0.255913168,0.579621017,1873,1.432
Netherlands,2016,7.540877342,10.76362324,0.907310009,0.233066663,0.572273314,1895,1.541
New Zealand,2011,7.190638065,10.39618587,0.934768736,0.280214965,0.635153055,493,1.279
New Zealand,2012,7.249629974,10.41539097,0.901853085,0.282987028,0.61469996,549,1.239
New Zealand,2013,7.280151844,10.42768669,0.944000423,0.233037576,0.543508649,513,1.237
Nicaragua,2011,5.385705471,8.350311279,0.778591037,-0.017802317,0.539968431,369,2.021
Nicaragua,2012,5.448006153,8.401390076,0.850304902,0.018677294,0.573395669,316,2.006
Nicaragua,2013,5.772274971,8.437874794,0.859149039,0.040467963,0.609894693,351,1.931
Nicaragua,2014,6.275266647,8.473205566,0.817320645,0.105079539,0.584542394,311,1.882
Nicaragua,2015,5.924112797,8.508540154,0.809259176,0.077999569,0.603455484,315,1.947
Norway,2012,7.678277016,11.05094433,0.946565866,0.128627837,0.663340509,515,1.48
Norway,2014,7.444470882,11.05752373,0.956316173,0.162420183,0.699690521,548,1.371
Norway,2015,7.603433609,11.06676769,0.947620511,0.238337234,0.586871624,590,1.393
Panama,2011,7.24808073,9.746473312,0.829012871,0.0191455,0.461056739,144,1.812
Panama,2012,6.859835625,9.822350502,0.783182502,0.008150788,0.361556232,135,1.899
Panama,2013,6.86648035,9.871889114,0.811337948,0.028136179,0.418275893,130,1.893
Panama,2014,6.631171227,9.90438652,0.893915117,0.011850909,0.4400675,147,1.877
Panama,2015,6.605550289,9.942067146,0.846669197,0.00271332,0.375584841,110,1.903
Paraguay,2011,5.677080631,8.923278809,0.665864289,0.206448629,0.367264926,298,1.954
Paraguay,2012,5.820058346,8.897328377,0.748206615,0.215980485,0.296063691,275,1.973
Paraguay,2013,5.936240673,9.015202522,0.908905864,0.05795756,0.372237712,323,2.06
Paraguay,2014,5.118641853,9.048003197,0.759396434,0.010721216,0.193541795,379,1.976
Philippines,2011,4.993956566,8.649484634,0.882837474,0.067929983,0.722774804,2449,2.574
Poland,2011,5.646204948,10.03673458,0.868148923,-0.072977275,0.27237618,6113,1.545
Poland,2012,5.87593174,10.05268764,0.811301708,-0.03269821,0.268628746,6368,1.524
Poland,2013,5.746131897,10.06711483,0.775931358,-0.143367842,0.163588136,6218,1.53
Poland,2014,5.750282288,10.10016727,0.875357091,-0.070496768,0.252522856,5934,1.532
Poland,2015,6.007021904,10.13855839,0.793462157,-0.099409871,0.211427912,5420,1.43
Portugal,2011,5.219997883,10.19541836,0.875092566,-0.175307617,0.20997645,1017,1.453
Portugal,2012,4.993962288,10.15835667,0.773821414,-0.099241018,0.230625153,1076,1.47
Portugal,2013,5.157688141,10.15247917,0.78803277,-0.120431803,0.17921339,1052,1.467
Portugal,2014,5.12691164,10.16676331,0.846810102,-0.1285045,0.227394462,1222,1.425
